 PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
 ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                           ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                       FIELD    FIELD    SCATT.   SCATT.
  (MeV)    (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)

4.200E-01 2.18E-04 9.34E-02 1.11E-05 0.00E+00 0.00E+00 9.36E-02 9.34E-02 
4.300E-01 2.08E-04 9.25E-02 1.03E-05 0.00E+00 0.00E+00 9.27E-02 9.25E-02 
4.400E-01 1.99E-04 9.17E-02 9.70E-06 0.00E+00 0.00E+00 9.19E-02 9.17E-02 
4.500E-01 1.90E-04 9.08E-02 9.11E-06 0.00E+00 0.00E+00 9.10E-02 9.08E-02 
4.600E-01 1.82E-04 9.00E-02 8.57E-06 0.00E+00 0.00E+00 9.02E-02 9.00E-02 
4.700E-01 1.74E-04 8.92E-02 8.08E-06 0.00E+00 0.00E+00 8.94E-02 8.93E-02 
4.800E-01 1.67E-04 8.85E-02 7.63E-06 0.00E+00 0.00E+00 8.87E-02 8.85E-02 
4.900E-01 1.60E-04 8.77E-02 7.22E-06 0.00E+00 0.00E+00 8.79E-02 8.77E-02 
5.000E-01 1.54E-04 8.70E-02 6.84E-06 0.00E+00 0.00E+00 8.72E-02 8.70E-02 
5.100E-01 1.48E-04 8.63E-02 6.49E-06 0.00E+00 0.00E+00 8.64E-02 8.63E-02 
5.200E-01 1.42E-04 8.56E-02 6.17E-06 0.00E+00 0.00E+00 8.57E-02 8.56E-02 
5.300E-01 1.37E-04 8.49E-02 5.87E-06 0.00E+00 0.00E+00 8.50E-02 8.49E-02 
5.400E-01 1.32E-04 8.42E-02 5.59E-06 0.00E+00 0.00E+00 8.43E-02 8.42E-02 
5.500E-01 1.27E-04 8.36E-02 5.33E-06 0.00E+00 0.00E+00 8.37E-02 8.36E-02 
5.600E-01 1.23E-04 8.29E-02 5.09E-06 0.00E+00 0.00E+00 8.30E-02 8.29E-02 
5.700E-01 1.18E-04 8.23E-02 4.86E-06 0.00E+00 0.00E+00 8.24E-02 8.23E-02 
5.800E-01 1.14E-04 8.17E-02 4.65E-06 0.00E+00 0.00E+00 8.18E-02 8.17E-02 
5.900E-01 1.11E-04 8.11E-02 4.44E-06 0.00E+00 0.00E+00 8.12E-02 8.11E-02 
6.000E-01 1.07E-04 8.05E-02 4.25E-06 0.00E+00 0.00E+00 8.06E-02 8.05E-02 
6.100E-01 1.03E-04 7.99E-02 4.07E-06 0.00E+00 0.00E+00 8.00E-02 7.99E-02 
6.200E-01 1.00E-04 7.93E-02 3.90E-06 0.00E+00 0.00E+00 7.94E-02 7.93E-02 
6.300E-01 9.70E-05 7.88E-02 3.74E-06 0.00E+00 0.00E+00 7.89E-02 7.88E-02 
6.400E-01 9.40E-05 7.82E-02 3.59E-06 0.00E+00 0.00E+00 7.83E-02 7.82E-02 
6.500E-01 9.11E-05 7.77E-02 3.44E-06 0.00E+00 0.00E+00 7.78E-02 7.77E-02 
6.600E-01 8.84E-05 7.72E-02 3.31E-06 0.00E+00 0.00E+00 7.73E-02 7.72E-02 
6.620E-01 8.79E-05 7.71E-02 3.29E-06 0.00E+00 0.00E+00 7.72E-02 7.71E-02 
6.700E-01 8.58E-05 7.67E-02 3.19E-06 0.00E+00 0.00E+00 7.67E-02 7.67E-02 
6.800E-01 8.33E-05 7.62E-02 3.07E-06 0.00E+00 0.00E+00 7.62E-02 7.62E-02 
6.900E-01 8.09E-05 7.57E-02 2.96E-06 0.00E+00 0.00E+00 7.57E-02 7.57E-02 
7.000E-01 7.86E-05 7.52E-02 2.85E-06 0.00E+00 0.00E+00 7.52E-02 7.52E-02 
